source file name , phase name , phase input files , phase output file , arch , tool, metric , unit
src/forward/Kernel/layer_norm.cu , cicc ,  /tmp/tmpxft_00073394_00000000-41_layer_norm.cpp1.ii  , /tmp/tmpxft_00073394_00000000-10_layer_norm.ptx , compute_52 , nvcc , 688.9370 , ms
src/forward/Kernel/layer_norm.cu , ptxas , /tmp/tmpxft_00073394_00000000-10_layer_norm.ptx  , /tmp/tmpxft_00073394_00000000-42_layer_norm.sm_52.cubin , sm_52 , nvcc , 117.4040 , ms
src/forward/Kernel/layer_norm.cu , fatbinary , /tmp/tmpxft_00073394_00000000-42_layer_norm.sm_52.cubin /tmp/tmpxft_00073394_00000000-10_layer_norm.ptx  , /tmp/tmpxft_00073394_00000000-7_layer_norm.fatbin ,  , nvcc , 15.2940 , ms
src/forward/Kernel/layer_norm.cu , gcc (compiling) ,   , /tmp/tmpxft_00073394_00000000-43_layer_norm.o , compute_52 , nvcc , 644.8870 , ms
src/forward/Kernel/embedding.cu , gcc (preprocessing 4) , src/forward/Kernel/embedding.cu  , /tmp/tmpxft_00073394_00000000-13_embedding.cpp4.ii ,  , nvcc , 182.3310 , ms
src/forward/Kernel/embedding.cu , cudafe++ , /tmp/tmpxft_00073394_00000000-13_embedding.cpp4.ii  , /tmp/tmpxft_00073394_00000000-14_embedding.cudafe1.cpp , compute_52 , nvcc , 749.1470 , ms
src/forward/Kernel/embedding.cu , gcc (preprocessing 1) , src/forward/Kernel/embedding.cu  , /tmp/tmpxft_00073394_00000000-44_embedding.cpp1.ii , compute_52 , nvcc , 142.9840 , ms
src/forward/Kernel/embedding.cu , cicc ,  /tmp/tmpxft_00073394_00000000-44_embedding.cpp1.ii  , /tmp/tmpxft_00073394_00000000-14_embedding.ptx , compute_52 , nvcc , 718.0300 , ms
src/forward/Kernel/embedding.cu , ptxas , /tmp/tmpxft_00073394_00000000-14_embedding.ptx  , /tmp/tmpxft_00073394_00000000-45_embedding.sm_52.cubin , sm_52 , nvcc , 104.4350 , ms
src/forward/Kernel/embedding.cu , fatbinary , /tmp/tmpxft_00073394_00000000-45_embedding.sm_52.cubin /tmp/tmpxft_00073394_00000000-14_embedding.ptx  , /tmp/tmpxft_00073394_00000000-11_embedding.fatbin ,  , nvcc , 13.6680 , ms
